Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2009-01-01,825.8800048828125,943.8499755859375,804.2999877929688,902.989990234375,112090640000
2009-02-01,735.0900268554688,875.010009765625,734.52001953125,823.0900268554688,124492210000
2009-03-01,797.8699951171875,832.97998046875,666.7899780273438,729.5700073242188,161843640000
2009-04-01,872.8099975585938,888.7000122070312,783.3200073242188,793.5900268554688,138855320000
2009-05-01,919.1400146484375,930.1699829101562,866.0999755859375,872.739990234375,131614940000
2009-06-01,919.3200073242188,956.22998046875,888.8599853515625,923.260009765625,112653150000
2009-07-01,987.47998046875,996.6799926757812,869.3200073242188,920.8200073242188,106635790000
2009-08-01,1020.6199951171875,1039.469970703125,978.510009765625,990.219970703125,116059270000
2009-09-01,1057.0799560546875,1080.1500244140625,991.969970703125,1019.52001953125,112295490000
2009-10-01,1036.18994140625,1101.3599853515625,1019.9500122070312,1054.9100341796875,113410990000
2009-11-01,1095.6300048828125,1113.68994140625,1029.3800048828125,1036.1800537109375,84981530000
2009-12-01,1115.0999755859375,1130.3800048828125,1085.8900146484375,1098.8900146484375,89515330000
2010-01-01,1073.8699951171875,1150.449951171875,1071.5899658203125,1116.56005859375,90947580000
2010-02-01,1104.489990234375,1112.4200439453125,1044.5,1073.8900146484375,84561340000
2010-03-01,1169.4300537109375,1180.68994140625,1105.3599853515625,1105.3599853515625,103683550000
2010-04-01,1186.68994140625,1219.800048828125,1170.68994140625,1171.22998046875,116741910000
2010-05-01,1089.4100341796875,1205.1300048828125,1040.780029296875,1188.5799560546875,127662780000
2010-06-01,1030.7099609375,1131.22998046875,1028.3299560546875,1087.300048828125,110106750000
2010-07-01,1101.5999755859375,1120.949951171875,1010.9099731445312,1031.0999755859375,94778110000
2010-08-01,1049.3299560546875,1129.239990234375,1039.699951171875,1107.530029296875,85738250000
2010-09-01,1141.199951171875,1157.1600341796875,1049.719970703125,1049.719970703125,79589450000
2010-10-01,1183.260009765625,1196.1400146484375,1131.8699951171875,1143.489990234375,89536270000
2010-11-01,1180.550048828125,1227.0799560546875,1173.0,1185.7099609375,87151070000
2010-12-01,1257.6400146484375,1262.5999755859375,1186.5999755859375,1186.5999755859375,80984530000
2011-01-01,1286.1199951171875,1302.6700439453125,1257.6199951171875,1257.6199951171875,92164940000
2011-02-01,1327.219970703125,1344.0699462890625,1289.1400146484375,1289.1400146484375,59223660000
2011-03-01,1325.8299560546875,1332.280029296875,1249.050048828125,1328.6400146484375,89507640000
2011-04-01,1363.6099853515625,1364.56005859375,1294.699951171875,1329.47998046875,77364810000
2011-05-01,1345.199951171875,1370.5799560546875,1311.800048828125,1365.2099609375,81708980000
2011-06-01,1320.6400146484375,1345.199951171875,1258.0699462890625,1345.199951171875,86122730000
