Date,^GSPC
2005-01-08,-0.0014087949843777697
2005-01-15,-0.014156073063646505
2005-01-22,0.002983881749940044
2005-01-29,0.02667794427933628
2005-02-05,0.0018851404333039296
2005-02-12,-0.003082887812637066
2005-02-19,0.008106295181520137
2005-02-26,0.008835105113213662
2005-03-05,-0.018198866985591915
2005-03-12,-0.008729017882488832
2005-03-19,-0.015442441107837395
2005-03-26,0.0012796779890810277
2005-04-02,0.007034425931301594
2005-04-09,-0.03320696272982966
2005-04-16,0.008279852457213244
2005-04-23,0.004097053790355673
2005-04-30,0.01245613588434531
2005-05-07,-0.014879371938130811
2005-05-14,0.030070569615118586
2005-05-21,0.007956290781120888
2005-05-28,-0.002305003283242016
2005-06-04,0.0017459088244461457
2005-06-11,0.015610610708033299
2005-06-18,-0.02108419342867653
2005-06-25,0.0024056870142258684
2005-07-02,0.014478950091547812
2005-07-09,0.013165359475002796
2005-07-16,0.004679899293002802
2005-07-23,0.00040520935958874763
2005-07-30,-0.006307433296319908
2005-08-06,0.0032318120358038596
2005-08-13,-0.008718110658722413
2005-08-20,-0.012050562752527255
2005-08-27,0.010664074757128834
2005-09-03,0.019077595009801496
2005-09-10,-0.0028796992284409097
2005-09-17,-0.0184417377484156
2005-09-24,0.011063505499985901
2005-10-01,-0.027147208674889893
2005-10-08,-0.007832313469570336
2005-10-15,-0.005899855440694736
2005-10-22,0.015828815228982704
2005-10-29,0.017969911539171317
2005-11-05,0.01187858173429379
2005-11-12,0.0109144083486725
2005-11-19,0.015879389116379608
2005-11-26,-0.002502670915275177
2005-12-03,-0.0045237345048695045
2005-12-10,0.006292800138216031
2005-12-17,0.001056860090127215
2005-12-24,-0.01618660623208905
2005-12-31,0.02933416756990047
2006-01-07,0.001678961812306947
2006-01-14,-0.020494221167712184
2006-01-21,0.01746853587441856
2006-01-28,-0.015457037332098814
2006-02-04,0.0023389481427051723
2006-02-11,0.015856382888425682
2006-02-18,0.0016999180854360301
2006-02-25,-0.0017076942613004982
2006-03-04,-0.004523735328813947
2006-03-11,0.019956821762063794
2006-03-18,-0.003294807140132274
2006-03-25,-0.006220586704767654
2006-04-01,0.00048642077882450336
2006-04-08,-0.004936909760988696
2006-04-15,0.017043970482124506
2006-04-22,-0.0005111152307348688
2006-04-29,0.011493220762529264
2006-05-06,-0.026382897847905325
2006-05-13,-0.018927387264411358
2006-05-20,0.010309494658578612
2006-05-27,0.006276300988289385
2006-06-03,-0.028279498228903147
2006-06-10,-0.0006070753421049789
2006-06-17,-0.005640981410991319
2006-06-24,0.02044048711993821
2006-07-01,-0.0037228485311859337
2006-07-08,-0.023409362669790924
2006-07-15,0.003303135991314839
2006-07-22,0.0303814067689163
2006-07-29,0.000633279935324633
2006-08-05,-0.009913278024047525
2006-08-12,0.02768530606930159
2006-08-19,-0.005551805070907884
2006-08-26,0.012217675552095963
2006-09-02,-0.009264656177556911
2006-09-09,0.01584096977383265
2006-09-16,-0.0037047800267943805
2006-09-23,0.015898401549991142
2006-09-30,0.010233042207404902
2006-10-07,0.01180771709901012
2006-10-14,0.002179767305191056
2006-10-21,0.006365776335353268
2006-10-28,-0.00951256565633589
2006-11-04,0.012093965812422953
2006-11-11,0.014593499304843558
2006-11-18,-0.00017843442312214403
2006-11-25,-0.003031100000602928
2006-12-02,0.009356755460206465
2006-12-09,0.012161183401292958
2006-12-16,-0.011508808739230809
2006-12-23,0.00533043255326875
2006-12-30,-0.006075023977780103
2007-01-06,0.014800808107751343
2007-01-13,-0.0001607563675867478
2007-01-20,-0.0058330900927349655
2007-01-27,0.01826166141370361
2007-02-03,-0.007157581038069129
2007-02-10,0.01208196883707002
2007-02-17,-0.002993123498304219
2007-02-24,-0.04511813693715118
2007-03-03,0.011232996719950412
2007-03-10,-0.011391672461653568
2007-03-17,0.0348310027126639
2007-03-24,-0.010675747379211844
2007-03-31,0.015988516650636837
2007-04-07,0.006276299333040403
2007-04-14,0.02144982177816206
2007-04-21,0.006526954200463291
2007-04-28,0.007700866511800023
2007-05-05,0.00015273635230255607
2007-05-12,0.011160404123760626
2007-05-19,-0.004620752525569889
2007-05-26,0.013505783940564736
2007-06-02,-0.018837500254513057
2007-06-09,0.01660247015371526
2007-06-16,-0.019997552978541548
2007-06-23,0.000525575949638447
2007-06-30,0.017859302454689828
2007-07-07,0.01431129735105594
2007-07-14,-0.011922660871163815
2007-07-21,-0.05022690851688522
2007-07-28,-0.017904906378416106
2007-08-04,0.01425870662588253
2007-08-11,-0.00531117710811335
2007-08-18,0.02285672959733504
2007-08-25,-0.003643315315819276
2007-09-01,-0.013964129116052814
2007-09-08,0.020900720426383926
2007-09-15,0.02757649827381949
2007-09-22,0.0006552006786398157
2007-09-29,0.019998439856640994
2007-10-06,0.0026993005326952924
2007-10-13,-0.039954010323749116
2007-10-20,0.022827770723591434
2007-10-27,-0.016834941857930073
2007-11-03,-0.03776585519107374
2007-11-10,0.003461045855054934
2007-11-17,-0.012443970022992152
2007-11-24,0.0276829987370295
2007-12-01,0.015754910342763648
2007-12-08,-0.02470014536917027
2007-12-15,0.011184207041041156
2007-12-22,-0.004029753374390151
2007-12-29,-0.046276221539026476
2008-01-05,-0.007544511820392826
2008-01-12,-0.0556447555422134
2008-01-19,0.004081671526193574
2008-01-26,0.047558004025437056
2008-02-02,-0.04704705040622106
2008-02-09,0.013948751467250293
2008-02-16,0.002308458089526165
2008-02-23,-0.016753117910384238
2008-03-01,-0.028401306655383166
2008-03-08,-0.0040518825062387355
2008-03-15,0.031611131843436724
2008-03-22,-0.010806530901060329
