Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2009-01-01,906.6500244140625,943.8499755859375,899.3499755859375,902.989990234375,19559740000
2009-01-08,842.6199951171875,911.9299926757812,836.9299926757812,905.72998046875,25408440000
2009-01-15,840.239990234375,858.1300048828125,804.2999877929688,841.989990234375,27436450000
2009-01-22,874.0900268554688,877.8599853515625,806.0700073242188,839.739990234375,29268370000
2009-01-29,832.22998046875,868.8900146484375,812.8699951171875,868.8900146484375,28397670000
2009-02-05,833.739990234375,875.010009765625,819.9099731445312,831.75,31379130000
2009-02-12,788.4199829101562,839.4299926757812,780.4299926757812,829.9099731445312,23421640000
2009-02-19,764.9000244140625,797.5800170898438,742.3699951171875,787.9099731445312,35184960000
2009-02-26,712.8699951171875,779.4199829101562,692.2999877929688,765.760009765625,39651590000
2009-03-05,721.3599853515625,731.9199829101562,666.7899780273438,708.27001953125,38022540000
2009-03-12,794.3499755859375,803.0399780273438,714.760009765625,720.8900146484375,37252510000
2009-03-19,813.8800048828125,826.780029296875,766.2000122070312,797.9199829101562,38848520000
2009-03-26,811.0800170898438,832.97998046875,779.8099975585938,814.0599975585938,30629070000
2009-04-02,825.1599731445312,845.6099853515625,814.530029296875,814.530029296875,30702490000
2009-04-09,852.0599975585938,864.3099975585938,829.2899780273438,829.2899780273438,27846540000
2009-04-16,843.5499877929688,875.6300048828125,826.8300170898438,854.5399780273438,35688990000
2009-04-23,873.6400146484375,882.0599975585938,835.4500122070312,844.6199951171875,31720620000
2009-04-30,919.530029296875,920.280029296875,866.0999755859375,876.5900268554688,34651450000
2009-05-07,883.9199829101562,930.1699829101562,882.7999877929688,919.5800170898438,37397550000
2009-05-14,903.469970703125,924.5999755859375,878.9400024414062,884.239990234375,32098070000
2009-05-21,893.0599975585938,913.8400268554688,879.6099853515625,900.4199829101562,22541010000
2009-05-28,931.760009765625,949.3800048828125,887.5999755859375,892.9600219726562,29470950000
2009-06-04,939.1500244140625,951.6900024414062,926.4400024414062,932.489990234375,24933600000
2009-06-11,910.7100219726562,956.22998046875,903.780029296875,939.0399780273438,25201690000
2009-06-18,900.9400024414062,927.0900268554688,888.8599853515625,910.8599853515625,25009080000
2009-06-25,923.3300170898438,931.9199829101562,896.27001953125,899.4500122070312,23746630000
2009-07-02,879.5599975585938,921.239990234375,869.3200073242188,921.239990234375,19038660000
2009-07-09,932.6799926757812,933.9500122070312,872.8099975585938,881.280029296875,22146550000
2009-07-16,954.0700073242188,959.8300170898438,927.4500122070312,930.1699829101562,24836570000
2009-07-23,975.1500244140625,982.489990234375,953.27001953125,954.0700073242188,25520360000
2009-07-30,1002.719970703125,1007.1199951171875,976.010009765625,976.010009765625,29733510000
2009-08-06,1005.8099975585938,1018.0,992.4000244140625,1004.0599975585938,30257880000
